filePath;mtime;id;type;event
/contributing-to-product-documentation.md;1660656831219;1i83mX3HvQ0oajGh-8C_2a4-TrfjxDPyoegRgNGQjN1U;md;created
/navigation.md;1660656831219;15ph1CZwQ9C9J0gXCJo1s9JE8ApXfFct4w2RJoDqRvz4;md;created
/proposed-health-surveillance-worklow.svg;1660656831219;1WrNsgniilZhynhgomqA5yRPAqdBm6PCAf5UMnXI9wUQ;drawing;created
/functions.md;1660656831219;1E0DKcCJjdeSPf_YjJUF7pMO72HzWYbsLw3cEmdGW5g0;md;created
/_index.md;1660656831219;1C29_huh5LN64dXnkc7pHe_kgNH-dLYb5p8drt872IE0;md;created
/functions;1660656831219;1QSiOFWJAltU1dczs5VwPCLZkWHSIwqoP;directory;created
/videos-and-demonstrations.md;1660656831219;1CopZNJsyqZX0BFIhHamvn3_Iho4frEXu9poEDDbN_dk;md;created
/resources.md;1660656831219;1q_bPYZvlpavocfvkAWQaDq5Ag8_JBauTwq2lb89QbkE;md;created
/dynamic-encounter-landing-page-example.md;1660656831219;1oJobeiTCRgSrK0GKKP_ZyFIPnJQs7mB07tLZrp9m1YQ;md;created
/diagrams;1660656831219;1gcdDn4ndAdnO7VhG7MPO-ffepKopU-Vk;directory;created
/rapid-deployment.md;1660656831219;1x-ZxaNAaJzfFvLTlm0-qYLm_cCDrKHlaJgLmcKnE53o;md;created
/programs.md;1660656831219;1TbYl56bYzCZsXjAtsF3wMay92vryJzpt7YrLOm22oyk;md;created
/resources;1660656831219;1ahfVIVqVTCWvdED0KHwU-ipKTYsh67cF;directory;created
/rapid-deployment;1660656831219;1Nn6hwnNBi-b63JnWaq3dK2_2PsUWykgP;directory;created
/programs;1660656831219;1cd7hs06zA0YvezOax9PEJk7wgHbKUmU6;directory;created
/functions/medication-management-and-e-prescribing.md;1660656831385;1BT9iwpUSk65PGOkXhOqxTjwNvG-JzY6aKqNw1elTkKA;md;created
/functions/injury-care.md;1660656831385;111B4lq1O-rlxqSGXZpADmFAnK_djV5fVFecDJ4R6mXY;md;created
/functions/absence-management;1660656831385;18MuB6MrJPVEBSBTsAsVJKsqUQbVtSijh;directory;created
/functions/portal-management.md;1660656831385;1LKzU8ETTRlQ5idTGXfBDZybkugKjy5x5zy0JbKFyM94;md;created
/functions/visit-encounter;1660656831385;1TdezD8IpvdAghiYsIKx-IZ2N-w_9AcsL;directory;created
/functions/financial-functionality;1660656831385;1gq3BMLutr7wLSppoV4u0Ddcq_GelD5zX;directory;created
/functions/encounters.md;1660656831385;199AEByNU97uYKqzI8RuvTDuojNy0KQvIe8uBmaL0-xo;md;created
/functions/quality-of-care.md;1660656831385;1y8kVg24VMfoTaDVfYaAQ9W_evjrGthtF1ld0_kRKsEk;md;created
/functions/system-administration.md;1660656831385;1MF8wO3sFZvlVUNng29ljpIXW_32tUixolqLeaTteVBo;md;created
/functions/document-management.md;1660656831385;1WybRBSEox5cSECcPwj3PJOArnmlFKwVMkNlT6gq1qSQ;md;created
/functions/reports.md;1660656831385;1tumzkTBh0NospSPjdaGGHBFgQH6_k5j-sFMaSI0VnSY;md;created
/functions/fax-manager.md;1660656831385;1h4WYryKs4DeyPgg4oCW6NTLGr5yOYsEgUz8h7dkJXjg;md;created
/functions/e-sign-electronic-signature.md;1660656831385;1eOjuYvCVKoiTlMeMzqy6HG8-S3ony9TFD_qIZvh3854;md;created
/functions/task-management.md;1660656831385;1Vr2yUm8AI25FAxfr97ltCs1dTc4q2E5ByxM5tDOqTgU;md;created
/functions/injection-immunization-management.md;1660656831385;1bLRXxR-h5NWzJsXSk2cf_6ZjxljZuiBzTcQdmlvVrDA;md;created
/functions/order-and-result-management.md;1660656831385;103elDMKyCQlA8uZjycHzAZ90L6BR3FTzxRLYOKrgpo8;md;created
/functions/health-surveillance.md;1660656831385;13d8ccdFH7JxUSmcuuvP6MbeYsXaR-GYMpSLZpwYvERg;md;created
/functions/scheduling.md;1660656831385;1tF-Tk_-m1MKjLwr0A48YUO1QRDN6Y6Yu_JPedO_z30w;md;created
/functions/e-chart.md;1660656831385;1DIVVSjNfv48-LekRsKDHFuHEm1gBYphsCC18iR2WikU;md;created
/functions/patient-registration.md;1660656831385;1F5UITI13Xe991RVRXssmOWGPyAvgUbgXHk--KfZILV0;md;created
/functions/system-configuration.md;1660656831385;1g_frQrmRQNVXiUxZbiFQazraiJ-RFioG49ZunOCSejw;md;created
/functions/quality-of-care;1660656831385;1yc-v7_KxMHDgNdSQGDPc9oTmF6RM0cTk;directory;created
/functions/portal-management;1660656831385;14Md2CPhpF2dtoJFQehD7d0Yxs1DjFhhl;directory;created
/functions/system-administration;1660656831385;1UvKNUyOk7fYItfTEIXP22lviv2N3IJMr;directory;created
/functions/reports;1660656831385;1JfLUoDMo5-befWCXvGO6dGVqYnChxtVN;directory;created
/functions/fax-manager;1660656831385;12DN96EZeS3WvJucwFUzZoVMiQ4s5d5zQ;directory;created
/functions/e-sign-electronic-signature;1660656831385;1Ia4xI0icUOir7nUhAoOsh1xa724AYseT;directory;created
/functions/task-management;1660656831385;1n0kG7SZnUulm0gKq-P4gMwaFL2rIRwLG;directory;created
/functions/injection-immunization-management;1660656831385;1X_EpIib7ft6HgFa24I8qQDLPoSQDI0wa;directory;created
/functions/medication-management-and-e-prescribing;1660656831385;1QjWWE0PKiKX4vua8TqWK9T3CqkJ4UqJN;directory;created
/functions/order-and-result-management;1660656831385;1DD9YzKQU6V3gX0kfSPC_rXkamScMbqAn;directory;created
/functions/health-surveillance;1660656831385;1vvPtXtsHlz61luI3a7NTjPhvSWgnXUcF;directory;created
/functions/injury-care;1660656831385;1i4kSmWAUFrEIyYF038E2G1w-plZTiJR-;directory;created
